file|result|time
p1|9336|0.39295339584350586
p2|8009|0.40195631980895996
p3|10010|0.3580358028411865
p4|11942|0.39995670318603516
p5|9173|0.39095616340637207
p6|7891|0.3560817241668701
p7|9859|0.38598132133483887
p8|11861|0.3919527530670166
p9|9040|0.26628851890563965
p10|7727|0.27729058265686035
p11|9726|0.2722742557525635
p12|11727|0.26728224754333496
p13|12032|0.2682836055755615
p14|9180|0.2622981071472168
p15|13180|0.2642946243286133
p16|17180|0.26132726669311523
p17|12032|0.26126933097839355
p18|9180|0.2593350410461426
p19|13180|0.2573113441467285
p20|17180|0.2563450336456299
p21|12032|0.25829219818115234
p22|9180|0.260312557220459
p23|13180|0.2623291015625
p24|17180|0.26133203506469727
p25|18164|0.2712745666503906
p26|15141|0.27324533462524414
p27|19427|0.28224611282348633
p28|25475|0.27828550338745117
p29|19061|0.28325653076171875
p30|15713|0.2812771797180176
p31|20933|0.29720377922058105
p32|26148|0.28127551078796387
p33|19474|0.26928067207336426
p34|15433|0.26632142066955566
p35|21425|0.26628828048706055
p36|24729|0.2622997760772705
p37|17564|0.265291690826416
p38|15754|0.27227115631103516
p39|20944|0.2613034248352051
p40|26137|0.2603330612182617
p41|7100|0.31117701530456543
p42|9957|0.26332855224609375
p43|12458|0.25634098052978516
p44|7151|0.3241691589355469
p45|9859|0.2593069076538086
p46|12325|0.2543201446533203
p47|6318|0.4059157371520996
p48|9048|0.26628732681274414
p49|12873|0.26030492782592773
p50|9574|0.3400905132293701
p51|10900|0.2653172016143799
p52|10230|0.3670506477355957
p53|12795|0.3002490997314453
p54|9625|0.40192604064941406
p55|11893|0.2982041835784912
p56|23973|0.2593355178833008
p57|33049|0.26126980781555176
p58|54112|0.26030397415161133
p59|39409|0.26132631301879883
p60|24036|0.25232505798339844
p61|32994|0.26030397415161133
p62|53981|0.25834059715270996
p63|39205|0.2563159465789795
p64|24021|0.26030445098876953
p65|32977|0.2643263339996338
p66|53993|0.2563149929046631
p68|24030|0.2553138732910156
p69|33087|0.2583155632019043
p70|53954|0.2573122978210449
p71|39174|0.27825474739074707
