file|result|time
p1|9440|0.0
p2|8126|0.0
p3|10126|0.0
p4|12126|0.0009975433349609375
p5|9375|0.0
p6|8061|0.000997304916381836
p7|10061|0.0
p8|12061|0.0
p9|9040|0.0
p10|7726|0.0
p11|9726|0.0
p12|11726|0.0
p13|12032|0.0
p14|9180|0.0
p15|13180|0.0009620189666748047
p16|17180|0.000995635986328125
p17|12032|0.0
p18|9180|0.0
p19|13180|0.0
p20|17180|0.0009975433349609375
p21|12032|0.0009980201721191406
p22|9180|0.0
p23|13180|0.0
p24|17180|0.0
p25|19197|0.001996278762817383
p26|16131|0.000997304916381836
p27|21531|0.0009965896606445312
p28|26931|0.000997304916381836
p29|19305|0.0009975433349609375
p30|16239|0.000997304916381836
p31|21639|0.000997304916381836
p32|27039|0.0009975433349609375
p33|19055|0.000993490219116211
p34|15989|0.0009989738464355469
p35|21389|0.0009970664978027344
p36|26789|0.001995086669921875
p37|19055|0.000997304916381836
p38|15989|0.0009942054748535156
p39|21389|0.0009968280792236328
p40|26789|0.000997304916381836
p41|7226|0.0
p42|9957|0.0
p43|12448|0.0009970664978027344
p44|7585|0.0
p45|9848|0.0
p46|12639|0.0009970664978027344
p47|6634|0.0
p48|9044|0.0
p49|12420|0.0009984970092773438
p50|10062|0.0
p51|11351|0.0
p52|10364|0.0
p53|12470|0.000997304916381836
p54|10351|0.0
p55|11970|0.0009963512420654297
p56|23882|0.0009970664978027344
p57|32882|0.000997304916381836
p58|53882|0.0019948482513427734
p59|39121|0.0009980201721191406
p60|23882|0.000997304916381836
p61|32882|0.0009975433349609375
p62|53882|0.000997304916381836
p63|39121|0.001994609832763672
p64|23882|0.001994609832763672
p65|32882|0.000997304916381836
p66|53882|0.0009970664978027344
p68|23882|0.0009965896606445312
p69|32882|0.0009832382202148438
p70|53882|0.0019941329956054688
p71|39121|0.0019948482513427734
